,FTR
703,H
704,H
705,NH
706,NH
707,H
708,H
709,NH
710,H
711,H
712,H
713,H
714,NH
715,H
716,NH
717,H
718,NH
719,H
720,H
721,H
722,H
723,NH
724,NH
725,H
726,NH
727,H
728,NH
729,NH
730,NH
731,NH
732,NH
733,NH
734,NH
735,H
736,NH
737,H
738,H
739,NH
740,NH
741,NH
742,H
743,NH
744,NH
745,NH
746,NH
747,H
748,NH
749,H
750,NH
751,H
752,NH
753,H
754,NH
755,H
756,NH
757,NH
758,H
759,H
760,H
761,H
762,NH
763,H
764,NH
765,NH
766,H
767,H
768,NH
769,NH
770,H
771,H
772,H
773,H
774,H
775,NH
776,NH
777,H
778,H
779,NH
780,NH
781,H
782,H
783,NH
784,H
785,H
786,NH
787,NH
788,NH
789,H
790,H
791,NH
792,NH
793,NH
794,NH
795,H
796,NH
797,NH
798,H
799,H
800,H
801,H
802,H
803,H
804,NH
805,H
806,H
807,H
808,NH
809,NH
810,H
811,H
812,NH
813,H
814,NH
815,H
816,NH
817,H
818,H
819,NH
820,NH
821,NH
822,NH
823,H
824,NH
825,H
826,H
827,H
828,H
829,H
830,H
831,NH
832,NH
833,NH
834,NH
835,NH
836,H
837,H
838,NH
839,NH
840,NH
841,H
842,NH
843,NH
844,H
845,H
846,NH
847,H
848,NH
849,NH
850,H
851,NH
852,H
853,NH
854,H
855,NH
856,H
857,NH
858,H
859,H
860,NH
861,NH
862,NH
863,H
864,H
865,H
866,NH
867,H
868,H
869,NH
870,H
871,H
872,NH
873,NH
874,NH
875,NH
876,NH
877,H
878,H
879,NH
880,NH
881,H
882,NH
883,H
884,H
885,H
886,H
887,H
888,H
889,H
890,NH
891,NH
892,NH
893,H
894,H
895,NH
896,H
897,H
898,H
899,H
900,NH
901,H
902,NH
903,H
904,NH
905,NH
906,NH
907,NH
908,NH
909,NH
910,NH
911,H
912,NH
913,H
914,NH
915,NH
916,NH
917,H
918,NH
919,NH
920,NH
921,NH
922,NH
923,NH
924,H
925,NH
926,H
927,H
928,H
929,H
930,H
931,H
932,NH
933,NH
934,H
935,H
936,H
937,NH
938,NH
939,H
940,NH
941,NH
942,H
943,NH
944,H
945,H
946,H
947,H
948,NH
949,NH
950,H
951,H
952,NH
953,NH
954,H
955,H
956,H
957,H
958,NH
959,NH
960,NH
961,H
962,H
963,NH
964,NH
965,H
966,NH
967,H
968,H
969,NH
970,NH
971,H
972,H
973,H
974,H
975,NH
976,NH
977,H
978,H
979,NH
980,H
981,NH
982,NH
983,NH
984,NH
985,H
986,NH
987,H
988,H
989,H
990,H
991,NH
992,NH
993,H
994,NH
995,NH
996,NH
997,H
998,H
999,H
1000,NH
1001,NH
1002,NH
1003,NH
1004,H
1005,NH
1006,NH
1007,H
1008,NH
1009,NH
1010,NH
1011,H
1012,H
1013,NH
1014,NH
1015,NH
1016,NH
1017,H
1018,NH
1019,NH
1020,H
1021,NH
1022,NH
1023,NH
1024,H
1025,NH
1026,NH
1027,NH
1028,H
1029,H
1030,H
1031,H
1032,H
1033,NH
1034,NH
1035,NH
1036,H
1037,H
1038,NH
1039,H
1040,H
1041,NH
1042,H
1043,H
1044,H
1045,H
1046,NH
1047,NH
1048,NH
1049,H
1050,NH
1051,H
1052,NH
1053,H
1054,NH
1055,H
1056,H
1057,H
1058,NH
1059,H
1060,NH
1061,H
1062,NH
1063,NH
1064,H
1065,H
1066,H
1067,H
1068,NH
1069,NH
1070,H
1071,NH
1072,NH
1073,NH
1074,NH
1075,NH
1076,H
1077,H
1078,NH
1079,H
1080,H
1081,NH
1082,H
1083,NH
1084,H
1085,H
1086,NH
1087,NH
1088,H
1089,H
1090,NH
1091,NH
1092,NH
1093,H
1094,NH
1095,NH
1096,NH
1097,H
1098,NH
1099,NH
1100,H
1101,NH
1102,H
1103,H
1104,H
1105,NH
1106,NH
1107,H
1108,H
1109,NH
1110,H
1111,NH
1112,H
1113,NH
1114,H
1115,H
1116,NH
1117,NH
1118,NH
1119,NH
1120,NH
1121,NH
1122,H
1123,NH
1124,NH
1125,NH
1126,NH
1127,NH
1128,H
1129,NH
1130,NH
1131,NH
1132,NH
1133,NH
1134,H
1135,H
1136,NH
1137,NH
1138,NH
1139,NH
1140,H
1141,NH
1142,H
1143,NH
1144,NH
1145,H
1146,H
1147,NH
1148,NH
1149,NH
1150,H
1151,NH
1152,H
1153,H
1154,H
1155,H
1156,NH
1157,H
1158,NH
1159,NH
1160,NH
1161,H
1162,NH
1163,NH
1164,H
1165,NH
1166,H
1167,H
1168,NH
1169,H
1170,NH
1171,NH
1172,H
1173,H
1174,H
1175,H
1176,NH
1177,H
1178,H
1179,NH
1180,NH
1181,H
1182,H
1183,H
1184,H
1185,NH
1186,H
1187,H
1188,H
1189,NH
1190,H
1191,NH
1192,H
1193,NH
1194,H
1195,NH
1196,H
1197,H
1198,H
1199,NH
1200,H
1201,H
1202,NH
1203,NH
1204,H
1205,NH
1206,NH
1207,NH
1208,NH
1209,H
1210,H
1211,NH
1212,H
1213,NH
1214,H
1215,NH
1216,H
1217,H
1218,NH
1219,NH
1220,NH
1221,H
1222,H
1223,NH
1224,NH
1225,NH
1226,NH
1227,H
1228,H
1229,H
1230,H
1231,H
1232,H
1233,NH
1234,H
1235,NH
1236,NH
1237,NH
1238,NH
1239,H
1240,NH
1241,H
1242,NH
1243,NH
1244,H
1245,NH
1246,H
1247,NH
1248,H
1249,NH
1250,H
1251,NH
1252,H
1253,NH
1254,NH
1255,H
1256,NH
1257,NH
1258,NH
1259,H
1260,H
1261,H
1262,H
1263,NH
1264,NH
1265,H
1266,NH
1267,H
1268,H
1269,NH
1270,NH
1271,NH
1272,H
1273,NH
1274,NH
1275,NH
1276,H
1277,NH
1278,NH
1279,NH
1280,H
1281,NH
1282,H
1283,H
1284,NH
1285,H
1286,NH
1287,NH
1288,H
1289,NH
1290,H
1291,H
1292,NH
1293,H
1294,NH
1295,H
1296,H
1297,NH
1298,NH
1299,NH
1300,H
1301,NH
1302,NH
1303,NH
1304,NH
1305,H
1306,NH
1307,H
1308,H
1309,H
1310,H
1311,NH
1312,H
1313,H
1314,NH
1315,H
1316,NH
1317,NH
1318,NH
1319,NH
1320,H
1321,H
1322,NH
1323,NH
1324,NH
1325,NH
1326,H
1327,NH
1328,H
1329,NH
1330,NH
1331,NH
1332,H
1333,NH
1334,H
1335,H
1336,NH
1337,H
1338,H
1339,NH
1340,NH
1341,NH
1342,NH
1343,NH
1344,NH
1345,H
1346,NH
1347,NH
1348,NH
1349,H
1350,NH
1351,H
1352,NH
1353,NH
1354,NH
1355,H
1356,NH
1357,NH
1358,H
1359,H
1360,NH
1361,NH
1362,NH
1363,NH
1364,NH
1365,NH
1366,H
1367,H
1368,H
1369,H
1370,NH
1371,H
1372,H
1373,NH
1374,H
1375,H
1376,NH
1377,NH
1378,NH
1379,NH
1380,NH
1381,NH
1382,H
1383,H
1384,H
1385,NH
1386,NH
1387,NH
1388,H
1389,NH
1390,H
1391,NH
1392,H
1393,NH
1394,H
1395,H
1396,NH
1397,H
1398,H
1399,H
1400,H
1401,H
1402,H
1403,NH
1404,NH
1405,H
1406,H
1407,NH
1408,NH
1409,NH
1410,NH
1411,H
1412,NH
1413,H
1414,NH
1415,NH
1416,H
1417,NH
1418,H
1419,H
1420,H
1421,NH
1422,NH
1423,NH
1424,H
1425,H
1426,H
1427,H
1428,NH
1429,NH
1430,H
1431,NH
1432,H
1433,H
1434,NH
1435,NH
1436,H
1437,NH
1438,NH
1439,NH
1440,NH
1441,H
1442,H
1443,H
1444,H
1445,H
1446,H
1447,H
1448,NH
1449,H
1450,H
1451,NH
1452,NH
1453,H
1454,NH
1455,NH
1456,NH
1457,NH
1458,NH
1459,H
1460,H
1461,H
1462,NH
1463,NH
1464,H
1465,NH
1466,H
1467,H
1468,NH
1469,H
1470,H
1471,H
1472,H
1473,H
1474,H
1475,H
1476,NH
1477,H
1478,NH
1479,NH
1480,NH
1481,H
1482,NH
1483,NH
1484,NH
1485,H
1486,H
1487,NH
1488,H
1489,H
1490,H
1491,H
1492,H
1493,NH
1494,H
1495,H
1496,H
1497,NH
1498,NH
1499,H
1500,H
1501,NH
1502,NH
1503,NH
1504,NH
1505,H
1506,H
1507,H
1508,NH
1509,NH
1510,H
1511,H
1512,NH
1513,NH
1514,NH
1515,H
1516,H
1517,NH
1518,NH
1519,NH
1520,NH
1521,H
1522,H
1523,H
1524,H
1525,H
1526,NH
1527,NH
1528,NH
1529,H
1530,NH
1531,H
1532,H
1533,NH
1534,H
1535,NH
1536,NH
1537,H
1538,H
1539,NH
1540,H
1541,H
1542,H
1543,NH
1544,NH
1545,NH
1546,H
1547,NH
1548,H
1549,H
1550,H
1551,NH
1552,H
1553,NH
1554,H
1555,NH
1556,H
1557,NH
1558,NH
1559,H
1560,NH
1561,H
1562,NH
1563,NH
1564,H
1565,H
1566,NH
1567,NH
1568,NH
1569,NH
1570,H
1571,H
1572,H
1573,NH
1574,NH
1575,H
1576,H
1577,NH
1578,H
1579,NH
1580,NH
1581,H
1582,NH
1583,NH
1584,H
1585,NH
1586,H
1587,NH
1588,NH
1589,NH
1590,H
1591,NH
1592,H
1593,NH
1594,NH
1595,H
1596,NH
1597,H
1598,H
1599,NH
1600,H
1601,H
1602,H
1603,H
1604,NH
1605,NH
1606,NH
1607,H
1608,H
1609,H
1610,H
1611,H
1612,NH
1613,NH
1614,H
1615,NH
1616,NH
1617,H
1618,NH
1619,H
1620,NH
1621,H
1622,NH
1623,NH
1624,NH
1625,NH
1626,NH
1627,NH
1628,H
1629,NH
1630,NH
1631,NH
1632,NH
1633,NH
1634,NH
1635,NH
1636,H
1637,H
1638,H
1639,H
1640,NH
1641,NH
1642,H
1643,H
1644,H
1645,H
1646,H
1647,NH
1648,H
1649,H
1650,NH
1651,H
1652,NH
1653,NH
1654,H
1655,NH
1656,H
1657,NH
1658,H
1659,NH
1660,H
1661,H
1662,NH
1663,NH
1664,H
1665,H
1666,H
1667,NH
1668,H
1669,H
1670,H
1671,NH
1672,H
1673,NH
1674,H
1675,H
1676,NH
1677,NH
1678,H
1679,NH
1680,NH
1681,NH
1682,NH
1683,H
1684,NH
1685,H
1686,H
1687,NH
1688,H
1689,H
1690,NH
1691,H
1692,NH
1693,H
1694,H
1695,NH
1696,H
1697,H
1698,NH
1699,NH
1700,NH
1701,NH
1702,NH
1703,NH
1704,NH
1705,NH
1706,NH
1707,NH
1708,H
1709,H
1710,NH
1711,NH
1712,H
1713,H
1714,NH
1715,NH
1716,H
1717,NH
1718,H
1719,NH
1720,NH
1721,NH
1722,NH
1723,H
1724,NH
1725,H
1726,NH
1727,H
1728,NH
1729,H
1730,H
1731,NH
1732,H
1733,H
1734,NH
1735,H
1736,NH
1737,NH
1738,NH
1739,NH
1740,NH
1741,H
1742,H
1743,NH
1744,H
1745,H
1746,H
1747,H
1748,H
1749,NH
1750,H
1751,NH
1752,H
1753,NH
1754,NH
1755,NH
1756,NH
1757,H
1758,H
1759,NH
1760,NH
1761,NH
1762,H
1763,H
1764,H
1765,NH
1766,NH
1767,NH
1768,H
1769,H
1770,H
1771,H
1772,NH
1773,NH
1774,H
1775,H
1776,NH
1777,NH
1778,NH
1779,NH
1780,NH
1781,NH
1782,NH
1783,NH
1784,NH
1785,NH
1786,NH
1787,NH
1788,NH
1789,H
1790,NH
1791,NH
1792,H
1793,NH
1794,NH
1795,NH
1796,H
1797,H
1798,NH
1799,H
1800,H
1801,NH
1802,NH
1803,H
1804,NH
1805,H
1806,H
1807,NH
1808,NH
1809,NH
1810,H
1811,H
1812,H
1813,H
1814,NH
1815,H
1816,NH
1817,NH
1818,NH
1819,H
1820,H
1821,H
1822,H
1823,H
1824,H
1825,H
1826,H
1827,NH
1828,H
1829,H
1830,NH
1831,H
1832,NH
1833,NH
1834,H
1835,H
1836,H
1837,NH
1838,NH
1839,NH
1840,H
1841,NH
1842,H
1843,NH
1844,H
1845,NH
1846,H
1847,NH
1848,H
1849,H
1850,H
1851,H
1852,NH
1853,NH
1854,NH
1855,NH
1856,H
1857,H
1858,NH
1859,NH
1860,NH
1861,NH
1862,H
1863,NH
1864,NH
1865,NH
1866,H
1867,H
1868,H
1869,H
1870,NH
1871,H
1872,NH
1873,H
1874,H
1875,H
1876,H
1877,H
1878,H
1879,H
1880,NH
1881,NH
1882,H
1883,H
1884,H
1885,H
1886,NH
1887,H
1888,NH
1889,NH
1890,H
1891,NH
1892,H
1893,H
1894,H
1895,H
1896,H
1897,NH
1898,NH
1899,NH
1900,H
1901,H
1902,H
1903,NH
1904,H
1905,H
1906,H
1907,H
1908,NH
1909,H
1910,NH
1911,NH
1912,NH
1913,NH
1914,NH
1915,H
1916,H
1917,H
1918,H
1919,NH
1920,H
1921,NH
1922,NH
1923,NH
1924,H
1925,H
1926,H
1927,NH
1928,H
1929,NH
1930,NH
1931,H
1932,H
1933,H
1934,H
1935,NH
1936,NH
1937,NH
1938,NH
1939,NH
1940,H
1941,H
1942,NH
1943,NH
1944,H
1945,H
1946,NH
1947,NH
1948,NH
1949,NH
1950,NH
1951,H
1952,NH
1953,NH
1954,NH
1955,NH
1956,H
1957,H
1958,H
1959,NH
1960,H
1961,NH
1962,H
1963,NH
1964,NH
1965,NH
1966,NH
1967,H
1968,NH
1969,H
1970,H
1971,H
1972,NH
1973,NH
1974,NH
1975,H
1976,NH
1977,NH
1978,H
1979,NH
1980,NH
1981,H
1982,NH
1983,H
1984,NH
1985,NH
1986,NH
1987,H
1988,H
1989,H
1990,NH
1991,NH
1992,NH
1993,H
1994,H
1995,NH
1996,H
1997,NH
1998,NH
1999,H
2000,NH
2001,NH
2002,H
2003,NH
2004,NH
2005,H
2006,NH
2007,NH
2008,NH
2009,H
2010,NH
2011,H
2012,H
2013,NH
2014,NH
2015,NH
2016,H
2017,NH
2018,H
2019,H
2020,H
2021,NH
2022,NH
2023,NH
2024,H
2025,NH
2026,H
2027,NH
2028,NH
2029,H
2030,NH
2031,H
2032,NH
2033,NH
2034,H
2035,H
2036,NH
2037,H
2038,NH
2039,NH
2040,H
2041,H
2042,H
2043,NH
2044,H
2045,NH
2046,H
2047,H
2048,H
2049,NH
2050,NH
2051,H
2052,NH
2053,NH
2054,H
2055,NH
2056,H
2057,NH
2058,H
2059,NH
2060,NH
2061,NH
2062,NH
2063,H
2064,NH
2065,NH
2066,H
2067,H
2068,H
2069,NH
2070,H
2071,NH
2072,NH
2073,H
2074,NH
2075,NH
2076,H
2077,H
2078,NH
2079,H
2080,H
2081,H
2082,NH
2083,H
2084,H
2085,H
2086,NH
2087,H
2088,H
2089,NH
2090,NH
2091,NH
2092,NH
2093,NH
2094,H
2095,NH
2096,H
2097,H
2098,H
2099,H
2100,NH
2101,H
2102,NH
2103,H
2104,NH
2105,H
2106,NH
2107,NH
2108,NH
2109,NH
2110,H
2111,H
2112,NH
2113,NH
2114,NH
2115,NH
2116,NH
2117,NH
2118,NH
2119,NH
2120,H
2121,NH
2122,H
2123,H
2124,NH
2125,NH
2126,H
2127,H
2128,NH
2129,H
2130,NH
2131,H
