,FTR
2709,H
2710,NH
2711,H
2712,NH
2713,NH
2714,NH
2715,NH
2716,NH
2717,H
2718,NH
2719,NH
2720,H
2721,H
2722,H
2723,NH
2724,H
2725,NH
2726,H
2727,H
2728,H
2729,H
2730,NH
2731,H
2732,NH
2733,H
2734,H
2735,NH
2736,NH
2737,H
2738,H
2739,NH
2740,H
2741,H
2742,H
2743,NH
2744,H
2745,NH
2746,NH
2747,NH
2748,NH
2749,NH
2750,NH
2751,H
2752,H
2753,NH
2754,NH
2755,H
2756,H
2757,NH
2758,H
2759,NH
2760,H
2761,NH
2762,H
2763,H
2764,H
2765,NH
2766,NH
2767,H
2768,H
2769,H
2770,NH
2771,H
2772,NH
2773,H
2774,NH
2775,NH
2776,NH
2777,NH
2778,NH
2779,H
2780,NH
2781,H
2782,NH
2783,H
2784,H
2785,H
2786,NH
2787,H
2788,NH
2789,H
2790,NH
2791,H
2792,NH
2793,H
2794,NH
2795,H
2796,NH
2797,NH
2798,NH
2799,NH
2800,NH
2801,NH
2802,NH
2803,H
2804,NH
2805,NH
2806,NH
2807,H
2808,NH
2809,NH
2810,H
2811,NH
2812,NH
2813,NH
2814,NH
2815,H
2816,NH
2817,NH
2818,NH
2819,NH
2820,NH
2821,NH
2822,NH
2823,NH
2824,NH
2825,H
2826,NH
2827,H
2828,H
2829,NH
2830,NH
2831,H
2832,NH
2833,NH
2834,NH
2835,H
2836,H
2837,NH
2838,NH
2839,NH
2840,NH
2841,H
2842,NH
2843,NH
2844,H
2845,H
2846,H
2847,H
2848,NH
2849,NH
2850,H
2851,H
2852,H
2853,NH
2854,H
2855,NH
2856,H
2857,NH
2858,H
2859,H
2860,NH
2861,NH
2862,H
2863,NH
2864,H
2865,H
2866,NH
2867,NH
2868,H
2869,H
2870,H
2871,NH
2872,NH
2873,H
2874,NH
2875,H
2876,H
2877,NH
2878,H
2879,H
2880,H
2881,NH
2882,H
2883,H
2884,H
2885,H
2886,NH
2887,H
2888,H
2889,NH
2890,NH
2891,H
2892,NH
2893,H
2894,NH
2895,H
2896,H
2897,NH
2898,NH
2899,NH
2900,NH
2901,H
2902,H
2903,NH
2904,NH
2905,NH
2906,NH
2907,H
2908,H
2909,H
2910,H
2911,NH
2912,H
2913,NH
2914,NH
2915,NH
2916,H
2917,H
2918,NH
2919,H
2920,H
2921,H
2922,H
2923,H
2924,NH
2925,H
2926,NH
2927,H
2928,NH
2929,NH
2930,H
2931,H
2932,H
2933,NH
2934,H
2935,NH
2936,NH
2937,H
2938,NH
2939,H
2940,H
2941,H
2942,NH
2943,NH
2944,NH
2945,H
2946,H
2947,H
2948,NH
2949,NH
2950,NH
2951,NH
2952,H
2953,NH
2954,NH
2955,H
2956,H
2957,H
2958,H
2959,NH
2960,H
2961,NH
2962,H
2963,NH
2964,H
2965,H
2966,NH
2967,H
2968,H
2969,NH
2970,NH
2971,NH
2972,NH
2973,NH
2974,H
2975,NH
2976,NH
2977,H
2978,H
2979,H
2980,H
2981,NH
2982,NH
2983,NH
2984,H
2985,H
2986,H
2987,NH
2988,NH
2989,NH
2990,NH
2991,NH
2992,H
2993,H
2994,NH
2995,H
2996,NH
2997,NH
2998,NH
2999,NH
3000,H
3001,NH
3002,H
3003,NH
3004,NH
3005,NH
3006,H
3007,H
3008,NH
3009,H
3010,H
3011,H
3012,H
3013,H
3014,H
3015,NH
3016,NH
3017,H
3018,H
3019,H
3020,NH
3021,NH
3022,H
3023,NH
3024,H
3025,H
3026,H
3027,NH
3028,NH
3029,H
3030,H
3031,NH
3032,H
3033,H
3034,H
3035,H
3036,NH
3037,H
3038,NH
3039,NH
3040,H
3041,H
3042,NH
3043,NH
3044,H
3045,H
3046,NH
3047,NH
3048,H
3049,H
3050,H
3051,H
3052,H
3053,NH
3054,H
3055,H
3056,H
3057,H
3058,H
3059,NH
3060,H
3061,H
3062,H
3063,NH
3064,NH
3065,NH
3066,H
3067,NH
3068,NH
3069,H
3070,H
3071,NH
3072,NH
3073,H
3074,H
3075,H
3076,H
3077,H
3078,H
3079,NH
3080,NH
3081,NH
3082,NH
3083,H
3084,NH
3085,NH
3086,NH
3087,NH
3088,H
3089,NH
3090,NH
3091,H
3092,NH
3093,NH
3094,H
3095,H
3096,H
3097,NH
3098,NH
3099,NH
3100,H
3101,NH
3102,NH
3103,H
3104,H
3105,H
3106,H
3107,H
3108,NH
3109,H
3110,H
3111,H
3112,NH
3113,NH
3114,NH
3115,H
3116,H
3117,NH
3118,H
3119,NH
3120,H
3121,H
3122,H
3123,NH
3124,NH
3125,NH
3126,NH
3127,H
3128,H
3129,NH
3130,NH
3131,NH
3132,H
3133,NH
3134,NH
3135,NH
3136,H
3137,NH
3138,NH
3139,H
3140,H
3141,H
3142,H
3143,H
3144,NH
3145,H
3146,H
3147,H
3148,NH
3149,H
3150,H
3151,H
3152,H
3153,NH
3154,H
3155,NH
3156,NH
3157,H
3158,NH
3159,NH
3160,NH
3161,NH
3162,NH
3163,H
3164,H
3165,NH
3166,NH
3167,NH
3168,H
3169,H
3170,H
3171,NH
3172,H
3173,H
3174,NH
3175,NH
3176,NH
3177,NH
3178,NH
3179,H
3180,NH
3181,NH
3182,NH
3183,H
3184,H
3185,H
3186,H
3187,NH
3188,NH
3189,H
3190,NH
3191,NH
3192,NH
3193,H
3194,H
3195,NH
3196,NH
3197,NH
3198,H
3199,NH
3200,NH
3201,H
3202,H
3203,H
3204,NH
3205,H
3206,H
3207,NH
3208,H
3209,NH
3210,NH
3211,NH
3212,H
3213,NH
3214,H
3215,NH
3216,NH
3217,H
3218,H
3219,NH
3220,H
3221,H
3222,H
3223,H
3224,NH
3225,H
3226,H
3227,H
3228,H
3229,NH
3230,H
3231,NH
3232,NH
3233,H
3234,NH
3235,NH
3236,H
3237,H
3238,H
3239,NH
3240,H
3241,H
3242,H
3243,NH
3244,H
3245,H
3246,NH
3247,NH
3248,NH
3249,NH
3250,H
3251,NH
3252,NH
3253,H
3254,H
3255,NH
3256,H
3257,H
3258,NH
3259,NH
3260,NH
3261,H
3262,NH
3263,H
3264,H
3265,H
3266,NH
3267,NH
3268,H
3269,H
3270,NH
3271,H
3272,NH
3273,H
3274,H
3275,H
3276,NH
3277,NH
3278,H
3279,H
3280,H
3281,NH
3282,H
3283,H
3284,NH
3285,NH
3286,NH
3287,H
3288,NH
3289,NH
3290,NH
3291,NH
3292,H
3293,NH
3294,NH
3295,NH
3296,NH
3297,H
3298,H
3299,H
3300,NH
3301,NH
3302,H
3303,NH
3304,H
3305,H
3306,H
3307,NH
3308,NH
3309,H
3310,H
3311,NH
3312,NH
3313,H
3314,NH
3315,H
3316,NH
3317,NH
3318,NH
3319,H
3320,H
3321,H
3322,NH
3323,H
3324,H
3325,H
3326,NH
3327,NH
3328,NH
3329,H
3330,H
3331,H
3332,NH
3333,NH
3334,H
3335,NH
3336,H
3337,NH
3338,NH
3339,NH
3340,NH
3341,H
3342,H
3343,NH
3344,NH
3345,NH
3346,NH
3347,NH
3348,H
3349,NH
3350,H
3351,NH
3352,H
3353,NH
3354,NH
3355,H
3356,H
3357,NH
3358,H
3359,NH
3360,H
3361,H
3362,NH
3363,NH
3364,H
3365,H
3366,H
3367,H
3368,H
3369,NH
3370,H
3371,NH
3372,NH
3373,NH
3374,NH
3375,H
3376,NH
3377,H
3378,H
3379,H
3380,H
3381,H
3382,H
3383,H
3384,NH
3385,H
3386,H
3387,NH
3388,NH
3389,H
3390,NH
3391,H
3392,H
3393,NH
3394,H
3395,H
3396,H
3397,H
3398,NH
3399,NH
3400,NH
3401,NH
3402,NH
3403,NH
3404,NH
3405,NH
3406,NH
3407,NH
3408,NH
3409,NH
3410,H
3411,H
3412,NH
3413,NH
3414,H
3415,NH
3416,NH
3417,H
3418,H
3419,H
3420,H
3421,NH
3422,H
3423,H
3424,NH
3425,NH
3426,H
3427,H
3428,NH
3429,H
3430,NH
3431,NH
3432,NH
3433,H
3434,H
3435,H
3436,NH
3437,NH
3438,NH
3439,NH
3440,NH
3441,NH
3442,NH
3443,NH
3444,H
3445,H
3446,NH
3447,NH
3448,H
3449,H
3450,H
3451,H
3452,NH
3453,H
3454,H
3455,H
3456,H
3457,NH
3458,NH
3459,NH
3460,NH
3461,H
3462,NH
3463,NH
3464,NH
3465,H
3466,NH
3467,NH
3468,H
3469,NH
3470,NH
3471,NH
3472,NH
3473,H
3474,H
3475,NH
3476,H
3477,H
3478,H
3479,H
3480,H
3481,NH
3482,NH
3483,NH
3484,H
3485,NH
3486,NH
3487,NH
3488,NH
3489,NH
3490,NH
3491,NH
3492,NH
3493,NH
3494,NH
3495,H
3496,NH
3497,NH
3498,H
3499,NH
3500,H
3501,NH
3502,NH
3503,NH
3504,NH
3505,H
3506,NH
3507,NH
3508,NH
3509,H
3510,H
3511,H
3512,H
3513,NH
3514,H
3515,H
3516,H
3517,H
3518,NH
3519,NH
3520,NH
3521,H
3522,NH
3523,H
3524,NH
3525,H
3526,H
3527,H
3528,NH
3529,NH
3530,NH
3531,H
3532,H
3533,NH
3534,NH
3535,H
3536,H
3537,NH
3538,NH
3539,NH
3540,H
3541,H
3542,NH
3543,NH
3544,NH
3545,H
3546,NH
3547,H
3548,H
3549,H
3550,H
3551,NH
3552,NH
3553,NH
3554,H
3555,H
3556,H
3557,H
3558,NH
3559,H
3560,NH
3561,NH
3562,H
3563,NH
3564,NH
3565,H
3566,H
3567,H
3568,H
3569,H
3570,NH
3571,H
3572,NH
3573,NH
3574,NH
3575,NH
3576,NH
3577,NH
3578,H
3579,NH
3580,H
3581,H
3582,NH
3583,NH
3584,NH
3585,NH
3586,H
3587,NH
3588,H
3589,NH
3590,NH
3591,NH
3592,NH
3593,H
3594,NH
3595,H
3596,NH
3597,H
3598,NH
3599,H
3600,NH
3601,H
3602,H
3603,NH
3604,NH
3605,NH
3606,NH
3607,NH
3608,NH
3609,H
3610,H
3611,NH
3612,NH
3613,H
3614,NH
3615,H
3616,NH
3617,H
3618,NH
3619,NH
3620,H
3621,H
3622,H
3623,H
3624,H
3625,NH
3626,H
3627,H
3628,H
3629,NH
3630,NH
3631,NH
3632,H
3633,NH
3634,NH
3635,NH
3636,H
3637,H
3638,NH
3639,H
3640,NH
3641,H
3642,NH
3643,H
3644,NH
3645,H
3646,NH
3647,H
3648,NH
3649,H
3650,NH
3651,NH
3652,H
3653,NH
3654,NH
3655,H
3656,NH
3657,H
3658,NH
3659,NH
3660,H
3661,NH
3662,NH
3663,H
3664,H
3665,H
3666,NH
3667,NH
3668,NH
3669,H
3670,H
3671,NH
3672,H
3673,NH
3674,NH
3675,H
3676,H
3677,NH
3678,NH
3679,NH
3680,H
3681,H
3682,NH
3683,H
3684,H
3685,NH
3686,H
3687,NH
3688,H
3689,NH
3690,NH
3691,NH
3692,NH
3693,H
3694,NH
3695,H
3696,NH
3697,NH
3698,NH
3699,NH
3700,H
3701,NH
3702,H
3703,H
3704,H
3705,NH
3706,NH
3707,H
3708,H
3709,NH
3710,NH
3711,H
3712,NH
3713,NH
3714,NH
3715,NH
3716,H
3717,H
3718,NH
3719,H
3720,NH
3721,NH
3722,H
3723,H
3724,H
3725,NH
3726,NH
3727,NH
3728,H
3729,NH
3730,NH
3731,H
3732,NH
3733,H
3734,H
3735,H
3736,NH
3737,NH
3738,NH
3739,H
3740,NH
3741,NH
3742,NH
3743,NH
3744,NH
3745,NH
3746,NH
3747,H
3748,H
3749,NH
3750,H
3751,H
3752,NH
3753,H
3754,NH
3755,NH
3756,H
3757,H
3758,NH
3759,NH
3760,H
3761,H
3762,NH
3763,H
3764,H
3765,H
3766,H
3767,NH
3768,H
3769,NH
3770,NH
3771,H
3772,NH
3773,NH
3774,H
3775,H
3776,H
3777,H
3778,H
3779,H
3780,H
3781,NH
3782,NH
3783,H
3784,H
3785,NH
3786,H
3787,H
3788,H
3789,NH
3790,NH
3791,H
3792,NH
3793,NH
3794,NH
3795,H
3796,H
3797,H
3798,NH
3799,NH
3800,NH
3801,H
3802,NH
3803,NH
3804,NH
3805,NH
3806,NH
3807,H
3808,H
3809,NH
3810,NH
3811,H
3812,NH
3813,NH
3814,NH
3815,H
3816,NH
3817,H
3818,H
3819,H
3820,NH
3821,H
3822,NH
3823,H
3824,NH
3825,NH
3826,NH
3827,NH
3828,NH
3829,NH
3830,NH
3831,H
3832,H
3833,H
3834,H
3835,H
3836,NH
3837,H
3838,H
3839,NH
3840,H
3841,NH
3842,NH
3843,H
3844,H
3845,NH
3846,NH
3847,NH
3848,NH
3849,NH
3850,H
3851,H
3852,NH
3853,NH
3854,H
3855,H
3856,NH
3857,NH
3858,NH
3859,H
3860,NH
3861,NH
3862,H
3863,H
3864,NH
3865,NH
3866,H
3867,NH
3868,NH
3869,NH
3870,H
3871,NH
3872,NH
3873,H
3874,NH
3875,NH
3876,NH
3877,H
3878,H
3879,NH
3880,NH
3881,H
3882,NH
3883,H
3884,NH
3885,NH
3886,H
3887,NH
3888,NH
3889,H
3890,NH
3891,NH
3892,NH
3893,H
3894,H
3895,NH
3896,H
3897,H
3898,NH
3899,NH
3900,NH
3901,H
3902,NH
3903,NH
3904,H
3905,NH
3906,H
3907,NH
3908,NH
3909,H
3910,NH
3911,H
3912,NH
3913,H
3914,NH
3915,H
3916,H
3917,H
3918,H
3919,H
3920,H
3921,H
3922,NH
3923,NH
3924,H
3925,H
3926,NH
3927,H
3928,H
3929,H
3930,NH
3931,H
3932,NH
3933,NH
3934,NH
3935,NH
3936,NH
3937,H
3938,NH
3939,NH
3940,NH
3941,NH
3942,H
3943,H
3944,NH
3945,NH
3946,NH
3947,NH
3948,NH
3949,NH
3950,NH
3951,NH
3952,H
3953,NH
3954,NH
3955,H
3956,NH
3957,H
3958,H
3959,NH
3960,NH
3961,NH
3962,NH
3963,H
3964,NH
3965,NH
3966,H
3967,NH
3968,NH
3969,H
3970,NH
3971,NH
3972,NH
3973,H
3974,H
3975,NH
3976,NH
3977,NH
3978,NH
3979,H
3980,NH
3981,NH
3982,NH
3983,NH
3984,H
3985,NH
3986,H
3987,NH
3988,NH
3989,H
3990,H
3991,H
3992,NH
3993,NH
3994,NH
3995,H
3996,H
3997,NH
3998,NH
3999,H
4000,H
4001,H
4002,NH
4003,NH
4004,NH
4005,NH
4006,NH
4007,H
4008,H
4009,NH
4010,NH
4011,H
4012,NH
4013,NH
4014,H
4015,H
4016,H
4017,NH
4018,H
4019,H
4020,H
4021,NH
4022,NH
4023,NH
4024,H
4025,H
4026,H
4027,H
4028,NH
4029,H
4030,NH
4031,H
4032,NH
4033,H
4034,NH
4035,H
4036,NH
4037,NH
4038,H
4039,H
4040,NH
4041,NH
4042,H
4043,NH
4044,H
4045,H
4046,NH
4047,NH
4048,NH
4049,H
4050,H
4051,NH
4052,H
4053,NH
4054,H
4055,H
4056,NH
4057,NH
4058,NH
4059,H
4060,H
4061,NH
4062,H
4063,NH
4064,NH
4065,NH
4066,NH
4067,H
4068,H
4069,NH
4070,NH
4071,H
4072,H
4073,NH
4074,NH
4075,H
4076,NH
4077,NH
4078,NH
4079,NH
4080,H
4081,H
4082,H
4083,NH
4084,H
4085,NH
4086,H
4087,H
4088,NH
4089,NH
4090,NH
4091,NH
4092,H
4093,NH
4094,H
4095,H
4096,NH
4097,NH
4098,NH
4099,H
4100,NH
4101,H
4102,NH
4103,NH
4104,NH
4105,NH
4106,NH
4107,H
4108,NH
4109,NH
4110,H
4111,NH
4112,H
4113,H
4114,H
4115,NH
4116,H
4117,H
4118,H
4119,H
4120,H
4121,H
4122,NH
4123,NH
4124,NH
4125,NH
4126,H
4127,H
4128,H
4129,H
4130,H
4131,H
4132,NH
4133,NH
4134,NH
4135,H
4136,NH
4137,NH
4138,NH
4139,NH
4140,NH
4141,H
4142,H
4143,H
4144,H
4145,H
4146,NH
4147,NH
4148,H
4149,NH
4150,NH
4151,H
4152,NH
4153,H
4154,H
4155,NH
4156,H
4157,H
4158,NH
4159,H
4160,H
4161,NH
4162,NH
4163,NH
4164,H
4165,NH
4166,H
4167,NH
4168,H
4169,H
4170,NH
4171,NH
4172,H
4173,NH
4174,H
4175,NH
4176,NH
4177,H
4178,H
4179,NH
4180,NH
4181,H
4182,NH
4183,NH
4184,NH
4185,H
4186,H
4187,H
4188,NH
4189,H
4190,H
4191,H
4192,NH
4193,NH
4194,NH
4195,H
4196,H
4197,NH
4198,H
4199,H
4200,H
4201,H
4202,NH
4203,H
4204,H
4205,NH
4206,H
4207,H
4208,H
4209,NH
4210,NH
4211,H
4212,NH
4213,H
4214,NH
4215,H
4216,H
4217,H
4218,NH
4219,H
4220,NH
4221,NH
4222,H
4223,H
4224,H
4225,H
4226,NH
4227,H
4228,NH
4229,H
4230,NH
4231,NH
4232,H
4233,H
4234,H
4235,H
4236,NH
4237,H
4238,H
4239,NH
4240,NH
4241,H
4242,H
4243,NH
4244,NH
4245,NH
4246,H
4247,H
4248,NH
4249,H
4250,NH
4251,H
4252,H
4253,H
4254,NH
4255,H
4256,H
4257,NH
4258,H
4259,NH
4260,NH
4261,NH
4262,H
4263,H
4264,NH
4265,NH
4266,H
4267,NH
4268,H
4269,NH
4270,H
4271,H
4272,H
4273,NH
4274,NH
4275,NH
4276,H
4277,H
4278,H
4279,NH
4280,H
4281,NH
4282,H
4283,H
4284,NH
4285,NH
4286,NH
4287,H
4288,NH
4289,H
4290,NH
4291,NH
4292,H
4293,H
4294,NH
4295,H
4296,H
4297,H
4298,H
4299,NH
4300,NH
4301,NH
4302,NH
4303,NH
4304,H
4305,H
4306,NH
4307,NH
4308,NH
4309,H
4310,H
4311,NH
4312,H
4313,H
4314,NH
4315,NH
4316,H
4317,NH
4318,H
4319,H
4320,NH
4321,NH
4322,NH
4323,NH
4324,NH
4325,NH
4326,NH
4327,NH
4328,NH
4329,H
4330,H
4331,H
4332,NH
4333,NH
4334,H
4335,H
4336,H
4337,H
4338,H
4339,NH
4340,H
4341,H
4342,H
4343,NH
4344,NH
4345,H
4346,NH
4347,NH
4348,NH
4349,H
4350,H
4351,NH
4352,H
4353,NH
4354,H
4355,NH
4356,NH
4357,H
4358,H
4359,NH
4360,H
4361,NH
4362,NH
4363,NH
4364,H
4365,NH
4366,H
4367,NH
4368,NH
4369,H
4370,H
4371,H
4372,H
4373,NH
4374,NH
4375,NH
4376,NH
4377,H
4378,NH
4379,H
4380,H
4381,H
4382,H
4383,NH
4384,H
4385,NH
4386,NH
4387,H
4388,H
4389,H
4390,NH
4391,NH
4392,NH
4393,NH
4394,H
4395,NH
4396,NH
4397,NH
4398,H
4399,NH
4400,NH
4401,H
4402,NH
4403,H
4404,H
4405,H
4406,H
4407,H
4408,NH
4409,NH
4410,H
4411,H
4412,H
4413,H
4414,NH
4415,NH
4416,H
4417,NH
4418,H
4419,H
4420,H
4421,H
4422,NH
4423,NH
4424,H
4425,H
4426,NH
4427,H
4428,NH
4429,H
4430,H
4431,H
4432,NH
4433,NH
4434,H
4435,H
4436,H
4437,NH
4438,NH
4439,NH
4440,H
4441,NH
4442,H
4443,H
4444,NH
4445,NH
4446,H
4447,H
4448,NH
4449,H
4450,NH
4451,NH
4452,H
4453,NH
4454,H
4455,NH
4456,NH
4457,H
4458,H
4459,NH
4460,H
4461,NH
4462,H
4463,NH
4464,H
4465,H
4466,NH
4467,H
4468,H
4469,NH
4470,NH
4471,H
4472,NH
4473,NH
4474,H
4475,NH
4476,NH
4477,NH
4478,NH
4479,H
4480,H
4481,H
4482,NH
4483,NH
4484,NH
4485,H
4486,H
4487,H
4488,NH
4489,NH
4490,NH
4491,NH
4492,H
4493,H
4494,NH
4495,NH
4496,H
4497,NH
4498,H
4499,NH
4500,NH
4501,H
4502,NH
4503,H
4504,NH
4505,H
4506,NH
4507,NH
4508,NH
4509,NH
4510,NH
4511,NH
4512,H
4513,H
4514,NH
4515,H
4516,H
4517,NH
4518,NH
4519,NH
4520,NH
4521,H
4522,H
4523,NH
4524,H
4525,NH
4526,H
4527,H
4528,H
4529,H
4530,H
4531,NH
4532,H
4533,H
4534,NH
4535,NH
4536,H
4537,NH
4538,NH
4539,NH
4540,H
4541,NH
4542,H
4543,H
4544,H
4545,H
4546,NH
4547,H
4548,NH
4549,H
4550,H
4551,NH
4552,H
4553,NH
4554,NH
4555,NH
4556,NH
4557,NH
4558,NH
4559,H
4560,NH
4561,NH
4562,NH
4563,NH
4564,NH
4565,H
4566,H
4567,H
4568,H
4569,NH
4570,NH
4571,NH
4572,NH
4573,NH
4574,NH
4575,H
4576,H
4577,NH
4578,NH
4579,NH
4580,NH
4581,H
4582,NH
4583,H
4584,NH
4585,NH
4586,H
4587,H
4588,NH
4589,H
4590,H
4591,NH
4592,H
4593,NH
4594,NH
4595,NH
4596,NH
4597,NH
4598,H
4599,NH
4600,H
4601,H
4602,H
4603,NH
4604,H
4605,NH
4606,NH
4607,H
4608,NH
4609,NH
4610,H
4611,NH
4612,H
4613,H
4614,H
4615,H
4616,NH
4617,NH
4618,H
4619,H
4620,NH
4621,H
4622,NH
4623,H
4624,NH
4625,H
4626,H
4627,NH
4628,H
4629,NH
4630,H
4631,NH
4632,H
4633,H
4634,NH
4635,NH
4636,NH
4637,NH
4638,NH
4639,NH
4640,NH
4641,NH
4642,NH
4643,H
4644,H
4645,NH
4646,H
4647,NH
4648,NH
4649,NH
4650,NH
4651,H
4652,H
4653,H
4654,H
4655,H
4656,NH
4657,H
4658,NH
4659,NH
4660,NH
4661,NH
4662,NH
4663,NH
4664,H
4665,NH
4666,H
4667,H
4668,NH
4669,H
4670,H
4671,NH
4672,H
4673,NH
4674,H
4675,NH
4676,H
4677,H
4678,H
4679,H
4680,NH
4681,NH
4682,H
4683,NH
4684,NH
4685,H
4686,NH
4687,H
4688,H
4689,NH
4690,H
4691,NH
4692,NH
4693,NH
4694,H
4695,NH
4696,H
4697,NH
4698,NH
4699,H
4700,NH
4701,H
4702,NH
4703,NH
4704,H
4705,NH
4706,NH
4707,H
4708,NH
4709,NH
4710,NH
4711,H
4712,H
4713,H
4714,H
4715,H
4716,NH
4717,H
4718,NH
4719,NH
4720,NH
4721,H
4722,H
4723,NH
4724,NH
4725,H
4726,NH
4727,H
4728,H
4729,H
4730,H
4731,H
4732,H
4733,H
4734,H
4735,NH
4736,NH
4737,NH
4738,NH
4739,NH
4740,NH
4741,H
4742,H
4743,NH
4744,NH
4745,H
4746,H
4747,NH
4748,NH
4749,H
4750,NH
4751,NH
4752,NH
4753,H
4754,H
4755,H
4756,NH
4757,NH
4758,NH
4759,NH
4760,NH
4761,H
4762,H
4763,H
4764,NH
4765,H
4766,H
4767,NH
4768,H
4769,H
4770,H
4771,H
4772,NH
4773,NH
4774,H
4775,H
4776,NH
4777,NH
4778,NH
4779,H
4780,NH
4781,NH
4782,H
4783,NH
4784,NH
4785,NH
4786,H
4787,H
4788,H
4789,H
4790,NH
4791,NH
4792,H
4793,NH
4794,H
4795,NH
4796,H
4797,NH
4798,NH
4799,H
4800,H
4801,H
4802,NH
4803,H
4804,H
4805,NH
4806,NH
4807,NH
4808,NH
4809,NH
4810,H
4811,H
4812,H
4813,NH
4814,NH
4815,H
4816,H
4817,NH
4818,NH
4819,H
4820,NH
4821,H
4822,NH
4823,H
4824,NH
4825,NH
4826,H
4827,H
4828,NH
4829,H
4830,H
4831,H
4832,NH
4833,H
4834,NH
4835,H
4836,NH
4837,H
4838,H
4839,NH
4840,H
4841,NH
4842,NH
4843,NH
4844,NH
4845,H
4846,NH
4847,NH
4848,NH
4849,H
4850,H
4851,H
4852,H
4853,NH
4854,NH
4855,H
4856,NH
4857,H
4858,H
4859,H
4860,NH
4861,H
4862,NH
4863,H
4864,NH
4865,H
4866,NH
4867,H
4868,H
4869,NH
4870,NH
4871,H
4872,H
4873,NH
4874,NH
4875,H
4876,H
4877,H
4878,NH
4879,H
4880,NH
4881,H
4882,NH
4883,H
4884,NH
4885,NH
4886,NH
4887,NH
4888,H
4889,H
4890,H
4891,NH
4892,H
4893,NH
4894,H
4895,NH
4896,NH
4897,H
4898,NH
4899,NH
4900,NH
4901,NH
4902,H
4903,H
4904,NH
4905,NH
4906,NH
4907,NH
4908,NH
4909,NH
4910,H
4911,NH
4912,H
4913,H
4914,NH
4915,NH
4916,H
4917,H
4918,H
4919,H
4920,H
4921,H
4922,H
4923,H
4924,NH
4925,NH
4926,NH
4927,NH
4928,H
4929,H
4930,NH
4931,NH
4932,H
4933,NH
4934,NH
4935,NH
4936,H
4937,H
4938,H
4939,H
4940,NH
4941,H
4942,H
4943,NH
4944,H
4945,NH
4946,H
4947,NH
4948,H
4949,NH
4950,NH
4951,NH
4952,H
4953,NH
4954,H
4955,NH
4956,NH
4957,NH
4958,H
4959,NH
4960,NH
4961,H
4962,NH
4963,NH
4964,H
4965,NH
4966,NH
4967,H
4968,NH
4969,H
4970,H
4971,NH
4972,NH
4973,H
4974,H
4975,NH
4976,H
4977,NH
4978,H
4979,H
4980,H
4981,NH
4982,NH
4983,NH
4984,NH
4985,H
4986,NH
4987,NH
4988,H
4989,NH
4990,NH
4991,H
4992,NH
4993,H
4994,H
4995,NH
4996,NH
4997,NH
4998,NH
4999,NH
5000,H
5001,H
5002,NH
5003,NH
5004,H
5005,NH
5006,NH
5007,H
5008,H
5009,H
5010,NH
5011,H
5012,H
5013,H
5014,H
5015,NH
5016,H
5017,H
5018,H
5019,NH
5020,NH
5021,H
5022,NH
5023,NH
5024,NH
5025,NH
5026,H
5027,NH
5028,H
5029,NH
5030,NH
5031,NH
5032,H
5033,NH
5034,H
5035,NH
5036,NH
5037,NH
5038,NH
5039,NH
5040,NH
5041,NH
5042,H
5043,NH
5044,NH
5045,NH
5046,NH
5047,NH
5048,NH
5049,H
5050,H
5051,NH
5052,NH
5053,NH
5054,NH
5055,NH
5056,NH
5057,H
5058,NH
5059,NH
5060,NH
5061,H
5062,NH
5063,NH
5064,H
5065,H
5066,NH
5067,NH
5068,H
5069,H
5070,NH
5071,H
5072,H
5073,NH
5074,H
5075,NH
5076,NH
5077,H
5078,H
5079,NH
5080,H
5081,NH
5082,H
5083,NH
5084,H
5085,NH
5086,H
5087,NH
5088,NH
5089,H
5090,H
5091,H
5092,NH
5093,H
5094,NH
5095,NH
5096,NH
5097,NH
5098,NH
5099,H
5100,H
5101,H
5102,H
5103,NH
5104,NH
5105,NH
5106,NH
5107,NH
5108,H
5109,NH
5110,H
5111,NH
5112,H
5113,H
5114,H
5115,NH
5116,NH
5117,H
5118,NH
5119,NH
5120,H
5121,H
5122,NH
5123,NH
5124,H
5125,NH
5126,H
5127,NH
5128,H
5129,NH
5130,NH
5131,H
5132,NH
5133,H
5134,H
5135,NH
5136,H
5137,NH
5138,NH
5139,H
5140,H
5141,H
5142,H
5143,H
5144,NH
5145,H
5146,NH
5147,H
5148,H
5149,H
5150,NH
5151,NH
5152,H
5153,NH
5154,H
5155,NH
5156,H
5157,H
5158,NH
5159,H
5160,H
5161,NH
5162,NH
5163,H
5164,NH
5165,H
5166,NH
5167,NH
5168,H
5169,NH
5170,H
5171,H
5172,NH
5173,H
5174,H
5175,NH
5176,H
5177,H
5178,NH
5179,NH
5180,NH
5181,H
5182,NH
5183,NH
5184,H
5185,NH
5186,H
5187,H
5188,H
5189,NH
5190,H
5191,NH
5192,H
5193,NH
5194,NH
5195,H
5196,H
5197,H
5198,NH
5199,NH
5200,NH
5201,H
5202,H
5203,H
5204,NH
5205,NH
5206,NH
5207,H
5208,NH
5209,H
5210,H
5211,H
5212,NH
5213,NH
5214,NH
5215,NH
5216,H
5217,NH
5218,NH
5219,NH
5220,NH
5221,NH
5222,H
5223,H
5224,H
5225,H
5226,NH
5227,NH
5228,NH
5229,NH
5230,NH
5231,NH
5232,NH
5233,H
5234,H
5235,NH
5236,H
5237,NH
5238,NH
5239,H
5240,H
