,HTGDA,ATGDA,HM1_D,HM1_L,HM1_W,AM1_D,AM1_L,AM1_W,HM2_D,HM2_L,HM2_W,AM2_D,AM2_L,AM2_W,HM3_D,HM3_L,HM3_W,AM3_D,AM3_L,AM3_W
47,-0.16980994097795726,1.957847486634927,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
48,1.084788019653576,1.4201503129782405,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0
49,-1.2451796215192716,-0.7306383816485049,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
50,1.1246165263402912,0.30492654539400205,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
51,-0.4685237411283223,-1.1289325843571616,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
52,-1.583721928356352,-0.4916618600233111,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
53,0.8059884728465685,0.78287958864439,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1
54,1.2839305530871525,-1.6068856276075494,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
55,0.9653024995934298,-1.766203308691012,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0
56,-0.7871517946220452,2.057421037312091,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1
57,0.4873604193528458,0.78287958864439,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
58,-0.4685237411283223,0.78287958864439,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
59,-0.4685237411283223,-0.6509795411067737,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
60,1.1564793316896635,0.8466066610777749,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0
61,0.4395662113287874,0.9899925740528913,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0
62,-1.4244079016094906,-0.5872524686733887,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
63,-1.711173149753841,0.2730630091773096,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0
64,0.869714083545313,-0.8740242946236213,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0
65,2.016775076122715,-0.5872524686733887,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
66,0.869714083545313,-1.4475679465240867,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0
67,-0.4207295331042639,-0.3004806427231559,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
68,-0.4207295331042639,0.2730630091773096,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0
69,-1.1376426534651403,1.1333784870280077,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
70,0.5308096993747171,-0.4047613067050587,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
71,-0.2512773410189659,-0.013708816772923182,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
72,0.27011401924348943,-1.4475679465240867,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
73,1.3128967397684,-1.577918776501465,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
74,1.3128967397684,0.8987469930687264,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1
75,-0.9030165413470352,0.8987469930687264,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
76,-0.3816251810845797,-0.4047613067050587,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
77,-1.163712221478263,-1.3172171165467081,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
78,0.27011401924348943,2.462956952797269,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0
79,-1.4244079016094906,1.289799483000862,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0
80,1.084788019653576,1.4201503129782405,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1
81,-0.3490382210681763,-0.4916618600233111,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
82,-1.5438934216696365,0.22526770485227074,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
83,-2.141321021970367,-1.208591424898893,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0
84,0.6068459394129919,0.4642442264774646,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0
85,2.279643220255036,1.8981033562286282,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0
86,-1.0659513414290525,-0.8501266424611019,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
87,-0.22955270100803027,0.5837324872900617,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0
88,-0.4685237411283223,0.10577944403967378,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
89,0.8458169795332838,-1.208591424898893,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
90,2.215304863299573,-0.013708816772923182,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0
91,0.8917729487871862,2.1922283059211747,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1
92,0.00941833911226176,1.0892597445741259,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1
93,-1.2038192491907593,-0.5651930974464477,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
94,0.450595643949724,-0.34459938517703786,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
95,1.663833232252745,-0.34459938517703786,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0
96,1.2226559274152828,-0.7857868097158573,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0
97,-0.4317589657252005,-1.8887553710629064,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0
98,0.34030131774035843,1.0892597445741259,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1
99,-1.4244079016094906,0.5377754639006013,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
100,-0.912327101351722,-1.4475679465240867,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
101,-1.0147432614032756,0.8056392573705988,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1
102,0.9311637795762453,-0.4233828538446842,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
103,0.5214991393700305,0.3959652202988378,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0
104,-0.40024630109395315,-1.4475679465240867,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
105,-1.4244079016094906,1.4201503129782405,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1
106,-0.1954139809908457,-0.9354754001843856,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0
107,-1.7316563817641517,-1.3451494372561466,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0
108,-0.1954139809908457,1.4201503129782405,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
109,-0.40024630109395315,0.3959652202988378,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0
110,-1.711173149753841,-1.3519773378740092,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
111,0.00941833911226176,-0.5872524686733887,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0
112,-1.5199963176576075,0.8466066610777749,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
113,0.391772003304729,1.324559704328163,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
114,2.016775076122715,0.3686536178273871,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0
115,-1.0420542374170232,-1.4475679465240867,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
116,-0.18175849298397187,-1.0652055119237764,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
117,1.0608909156415467,0.5598348351275423,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
118,0.2961835872566122,1.7069221389284732,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
119,0.869714083545313,1.0377878783779302,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1
120,0.5471031793829189,-0.1033250123823709,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0
121,-1.4244079016094906,0.25513977005542,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
122,0.2782607592475903,-1.357951750914639,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
123,1.1744021596986853,-0.9098707728674004,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0
124,1.6224728599242328,-0.28255740360126635,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0
125,-1.0659513414290525,0.4343721612743154,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
126,0.4574890393378093,-0.013708816772923182,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
127,-1.2451796215192716,1.957847486634927,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1
128,-0.5282665011583954,-1.6268003377429823,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
129,-1.4244079016094906,1.1513017261498972,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0
130,-0.2436098210151063,1.841873586434465,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
131,-1.5930933416944026,0.6610484207570361,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
132,0.2624464992396298,-1.194533982450352,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
133,1.52758729987647,-0.4354320902291478,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0
134,0.43113193932454186,-1.194533982450352,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1
135,-0.8340088613122985,0.914082384830771,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1
136,0.43113193932454186,-1.0258446730678623,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
137,0.2624464992396298,0.6610484207570361,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
138,0.00941833911226176,-0.2667427808466579,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0
139,0.9371882595792779,-0.2667427808466579,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
140,0.6466744460997071,-1.1289325843571616,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0
141,0.24838937923255378,0.6235619075609272,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1
142,1.6822156199543061,0.22526770485227074,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0
143,-1.0261228347423372,-1.3679091059823554,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
144,-0.3888667277548917,-0.09336765731465449,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0
145,-0.4685237411283223,-0.8102972221902363,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1
146,-1.105779848115768,0.4642442264774646,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0
147,1.1246165263402912,1.4201503129782405,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
148,-1.34475088823606,0.22526770485227074,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
149,-1.105779848115768,0.22526770485227074,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
150,1.2168509628779478,0.8164201530830137,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
151,-1.2734788236387797,-0.16464135674672986,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0
152,0.5376701120097493,-0.39104016670743996,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0
153,1.6696381967900802,0.061757453213980164,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0
154,-0.8961561287120029,0.8164201530830137,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
155,-0.06604619987309361,-0.84383778662886,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0
156,0.5376701120097493,-1.3721016765371834,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0
157,-1.122549745668069,0.2881562631746902,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1
158,0.08488287809761713,1.1937515030175303,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0
159,0.8395282679511709,-0.9193040566157633,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0
160,0.2961835872566122,-1.3041820335489704,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
161,-0.06227297292382585,-1.0891031640862958,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
